playerID,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
hartnga01,1936,BBWAA,226,170,0,0,Player,NULL
sullibi03,1936,BBWAA,226,170,0,0,Player,NULL
lajoina01,1937,BBWAA,201,151,168,1,Player,NULL
speaktr01,1937,BBWAA,201,151,165,1,Player,NULL
youngcy01,1937,BBWAA,201,151,153,1,Player,NULL
alexape01,1937,BBWAA,201,151,125,0,Player,NULL
collied01,1937,BBWAA,201,151,115,0,Player,NULL
keelewi01,1937,BBWAA,201,151,115,0,Player,NULL
sislege01,1937,BBWAA,201,151,106,0,Player,NULL
delahed01,1937,BBWAA,201,151,70,0,Player,NULL
wadderu01,1937,BBWAA,201,151,67,0,Player,NULL
colliji01,1937,BBWAA,201,151,66,0,Player,NULL
walshed01,1937,BBWAA,201,151,56,0,Player,NULL
hornsro01,1937,BBWAA,201,151,53,0,Player,NULL
chancfr01,1937,BBWAA,201,151,49,0,Player,NULL
eversjo01,1937,BBWAA,201,151,44,0,Player,NULL
bresnro01,1937,BBWAA,201,151,43,0,Player,NULL
brownmo01,1937,BBWAA,201,151,31,0,Player,NULL
maranra01,1937,BBWAA,201,151,25,0,Player,NULL
schalra01,1937,BBWAA,201,151,24,0,Player,NULL
planked01,1937,BBWAA,201,151,23,0,Player,NULL
clarkfr01,1937,BBWAA,201,151,22,0,Player,NULL
klingjo01,1937,BBWAA,201,151,20,0,Player,NULL
chaseha01,1937,BBWAA,201,151,18,0,Player,NULL
bendech01,1937,BBWAA,201,151,17,0,Player,NULL
crigelo01,1937,BBWAA,201,151,16,0,Player,NULL
youngro01,1937,BBWAA,201,151,16,0,Player,NULL
pennohe01,1937,BBWAA,201,151,15,0,Player,NULL
tinkejo01,1937,BBWAA,201,151,15,0,Player,NULL
bakerfr01,1937,BBWAA,201,151,13,0,Player,NULL
marquru01,1937,BBWAA,201,151,13,0,Player,NULL
woodjo02,1937,BBWAA,201,151,13,0,Player,NULL
mcginjo01,1937,BBWAA,201,151,12,0,Player,NULL
jossad01,1937,BBWAA,201,151,11,0,Player,NULL
ruckena01,1937,BBWAA,201,151,11,0,Player,NULL
heilmha01,1937,BBWAA,201,151,10,0,Player,NULL
roushed01,1937,BBWAA,201,151,10,0,Player,NULL
vanceda01,1937,BBWAA,201,151,10,0,Player,NULL
adamsba01,1937,BBWAA,201,151,8,0,Player,NULL
duffyhu01,1937,BBWAA,201,151,7,0,Player,NULL
archeji01,1937,BBWAA,201,151,6,0,Player,NULL
careyma01,1937,BBWAA,201,151,6,0,Player,NULL
donlimi01,1937,BBWAA,201,151,6,0,Player,NULL
hoopeha01,1937,BBWAA,201,151,6,0,Player,NULL
bradlbi01,1937,BBWAA,201,151,5,0,Player,NULL
carribi02,1937,BBWAA,201,151,5,0,Player,NULL
crawfsa01,1937,BBWAA,201,151,5,0,Player,NULL
tennefr02,1937,BBWAA,201,151,5,0,Player,NULL
wheatza01,1937,BBWAA,201,151,5,0,Player,NULL
combsea01,1937,BBWAA,201,151,4,0,Player,NULL
jennihu01,1937,BBWAA,201,151,4,0,Player,NULL
altroni01,1937,BBWAA,201,151,3,0,Player,NULL
bancrda01,1937,BBWAA,201,151,3,0,Player,NULL
burnsge01,1937,BBWAA,201,151,3,0,Player,NULL
donovbi01,1937,BBWAA,201,151,3,0,Player,NULL
faberre01,1937,BBWAA,201,151,3,0,Player,NULL
lewisdu01,1937,BBWAA,201,151,3,0,Player,NULL
nehfar01,1937,BBWAA,201,151,3,0,Player,NULL
peckiro01,1937,BBWAA,201,151,3,0,Player,NULL
bergema01,1937,BBWAA,201,151,2,0,Player,NULL
bodiepi01,1937,BBWAA,201,151,2,0,Player,NULL
coombja01,1937,BBWAA,201,151,2,0,Player,NULL
cravaga01,1937,BBWAA,201,151,2,0,Player,NULL
daubeja01,1937,BBWAA,201,151,2,0,Player,NULL
doylela01,1937,BBWAA,201,151,2,0,Player,NULL
fletcar01,1937,BBWAA,201,151,2,0,Player,NULL
gowdyha01,1937,BBWAA,201,151,2,0,Player,NULL
loberha01,1937,BBWAA,201,151,2,0,Player,NULL
mageesh01,1937,BBWAA,201,151,2,0,Player,NULL
schreos01,1937,BBWAA,201,151,2,0,Player,NULL
scottev01,1937,BBWAA,201,151,2,0,Player,NULL
breitte01,1937,BBWAA,201,151,1,0,Player,NULL
burkeje01,1937,BBWAA,201,151,1,0,Player,NULL
bushdo01,1937,BBWAA,201,151,1,0,Player,NULL
chesbja01,1937,BBWAA,201,151,1,0,Player,NULL
cissebi01,1937,BBWAA,201,151,1,0,Player,NULL
collish01,1937,BBWAA,201,151,1,0,Player,NULL
dooinre01,1937,BBWAA,201,151,1,0,Player,NULL
duganjo01,1937,BBWAA,201,151,1,0,Player,NULL
elberki01,1937,BBWAA,201,151,1,0,Player,NULL
falkecy01,1937,BBWAA,201,151,1,0,Player,NULL
gleaski01,1937,BBWAA,201,151,1,0,Player,NULL
grimebu01,1937,BBWAA,201,151,1,0,Player,NULL
grohhe01,1937,BBWAA,201,151,1,0,Player,NULL
hinchbi01,1937,BBWAA,201,151,1,0,Player,NULL
judgejo01,1937,BBWAA,201,151,1,0,Player,NULL
kerrdi01,1937,BBWAA,201,151,1,0,Player,NULL
leachto01,1937,BBWAA,201,151,1,0,Player,NULL
leevesa01,1937,BBWAA,201,151,1,0,Player,NULL
longhe01,1937,BBWAA,201,151,1,0,Player,NULL
luquedo01,1937,BBWAA,201,151,1,0,Player,NULL
mcinnst01,1937,BBWAA,201,151,1,0,Player,NULL
mcleala01,1937,BBWAA,201,151,1,0,Player,NULL
meusebo01,1937,BBWAA,201,151,1,0,Player,NULL
milleha01,1937,BBWAA,201,151,1,0,Player,NULL
moranpa01,1937,BBWAA,201,151,1,0,Player,NULL
murphda02,1937,BBWAA,201,151,1,0,Player,NULL
murrare01,1937,BBWAA,201,151,1,0,Player,NULL
paskedo01,1937,BBWAA,201,151,1,0,Player,NULL
raymobu01,1937,BBWAA,201,151,1,0,Player,NULL
rixeyep01,1937,BBWAA,201,151,1,0,Player,NULL
rudoldi01,1937,BBWAA,201,151,1,0,Player,NULL
rusieam01,1937,BBWAA,201,151,1,0,Player,NULL
schulfr01,1937,BBWAA,201,151,1,0,Player,NULL
seweljo01,1937,BBWAA,201,151,1,0,Player,NULL
steinha01,1937,BBWAA,201,151,1,0,Player,NULL
streega01,1937,BBWAA,201,151,1,0,Player,NULL
sullibi03,1937,BBWAA,201,151,1,0,Player,NULL
veachbo01,1937,BBWAA,201,151,1,0,Player,NULL
wallabo01,1937,BBWAA,201,151,1,0,Player,NULL
wilsoha01,1937,BBWAA,201,151,1,0,Player,NULL
alexape01,1938,BBWAA,262,197,212,1,Player,NULL
sislege01,1938,BBWAA,262,197,179,0,Player,NULL
keelewi01,1938,BBWAA,262,197,177,0,Player,NULL
collied01,1938,BBWAA,262,197,175,0,Player,NULL
wadderu01,1938,BBWAA,262,197,148,0,Player,NULL
chancfr01,1938,BBWAA,262,197,133,0,Player,NULL
delahed01,1938,BBWAA,262,197,132,0,Player,NULL
walshed01,1938,BBWAA,262,197,110,0,Player,NULL
eversjo01,1938,BBWAA,262,197,91,0,Player,NULL
colliji01,1938,BBWAA,262,197,79,0,Player,NULL
maranra01,1938,BBWAA,262,197,73,0,Player,NULL
bresnro01,1938,BBWAA,262,197,67,0,Player,NULL
clarkfr01,1938,BBWAA,262,197,63,0,Player,NULL
brownmo01,1938,BBWAA,262,197,54,0,Player,NULL
hornsro01,1938,BBWAA,262,197,46,0,Player,NULL
schalra01,1938,BBWAA,262,197,45,0,Player,NULL
youngro01,1938,BBWAA,262,197,40,0,Player,NULL
planked01,1938,BBWAA,262,197,38,0,Player,NULL
pennohe01,1938,BBWAA,262,197,37,0,Player,NULL
mcginjo01,1938,BBWAA,262,197,36,0,Player,NULL
bendech01,1938,BBWAA,262,197,33,0,Player,NULL
bakerfr01,1938,BBWAA,262,197,32,0,Player,NULL
klingjo01,1938,BBWAA,262,197,26,0,Player,NULL
duffyhu01,1938,BBWAA,262,197,24,0,Player,NULL
jennihu01,1938,BBWAA,262,197,23,0,Player,NULL
jossad01,1938,BBWAA,262,197,18,0,Player,NULL
tinkejo01,1938,BBWAA,262,197,16,0,Player,NULL
heilmha01,1938,BBWAA,262,197,14,0,Player,NULL
ruckena01,1938,BBWAA,262,197,12,0,Player,NULL
adamsba01,1938,BBWAA,262,197,11,0,Player,NULL
crawfsa01,1938,BBWAA,262,197,11,0,Player,NULL
crigelo01,1938,BBWAA,262,197,11,0,Player,NULL
