playerID,indYear,votedBy,inducted
ryanno01,1999,BBWAA,1
brettge01,1999,BBWAA,1
yountro01,1999,BBWAA,1
cepedor01,1999,Veterans,1
willijo99,1999,Veterans,1
fiskca01,2000,BBWAA,1
perezto01,2000,BBWAA,1
mcphebi01,2000,Veterans,1
steartu99,2000,Veterans,1
winfida01,2001,BBWAA,1
puckeki01,2001,BBWAA,1
mazerbi01,2001,Veterans,1
smithhi99,2001,Veterans,1
smithoz01,2002,BBWAA,1
murraed02,2003,BBWAA,1
cartega01,2003,BBWAA,1
molitpa01,2004,BBWAA,1
eckerde01,2004,BBWAA,1
boggswa01,2005,BBWAA,1
sandbry01,2005,BBWAA,1
suttebr01,2006,BBWAA,1
brownra99,2006,Negro League,1
brownwi02,2006,Negro League,1
coopean99,2006,Negro League,1
grantfr99,2006,Negro League,1
hillpe99,2006,Negro League,1
mackebi99,2006,Negro League,1
mendejo99,2006,Negro League,1
santolo99,2006,Negro League,1
suttlmu99,2006,Negro League,1
taylobe99,2006,Negro League,1
torricr99,2006,Negro League,1
wilsoju99,2006,Negro League,1
ripkeca01,2007,BBWAA,1
gwynnto01,2007,BBWAA,1
gossari01,2008,BBWAA,1
henderi01,2009,BBWAA,1
riceji01,2009,BBWAA,1
gordojo01,2009,Veterans,1
dawsoan01,2010,BBWAA,1
alomaro01,2011,BBWAA,1
blylebe01,2011,BBWAA,1
larkiba01,2012,BBWAA,1
santoro01,2012,Veterans,1
whitede01,2013,Veterans,1
maddugr01,2014,BBWAA,1
glavito02,2014,BBWAA,1
thomafr04,2014,BBWAA,1
johnsra05,2015,BBWAA,1
martipe02,2015,BBWAA,1
smoltjo01,2015,BBWAA,1
biggicr01,2015,BBWAA,1
griffke02,2016,BBWAA,1
piazzmi01,2016,BBWAA,1
bagweje01,2017,BBWAA,1
raineti01,2017,BBWAA,1
rodriiv01,2017,BBWAA,1
jonesch06,2018,BBWAA,1
guerrvl01,2018,BBWAA,1
thomeji01,2018,BBWAA,1
hoffmtr01,2018,BBWAA,1
morrija02,2018,Veterans,1
trammal01,2018,Veterans,1
riverma01,2019,BBWAA,1
mussimi01,2019,BBWAA,1
martied01,2019,BBWAA,1
hallaro01,2019,BBWAA,1
baineha01,2019,Veterans,1
smithle02,2019,Veterans,1
jeterde01,2020,BBWAA,1
walkela01,2020,BBWAA,1
simmote01,2020,Veterans,1
