playerID,Name,NumYears,debut,final,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,ERA,WPct,WHIP,H9,HR9,BB9,K9,SOW,P,ROY,MVP,CYA,GG_P,WAR,indYear,votedBy,inducted
dotsori01,Richard Dotson,12,1979,1990,111.0,113.0,305.0,295.0,55.0,11.0,0.0,1884.0,872.0,194.0,740.0,973.0,24.0,46.0,40.0,12.0,8034.0,7.0,964.0,58.0,61.0,178.0,1857.3333333333333,4.225412778176597,0.4955357142857143,1.4127781765972722,9.12921751615219,0.9400574300071788,3.585786073223259,4.714824120603016,1.3148648648648649,305,0.0,0.0,0.0,0.0,15.989999999999995,0.0,0,0.0
downial01,Al Downing,17,1961,1977,123.0,107.0,405.0,317.0,73.0,24.0,3.0,1946.0,811.0,177.0,933.0,1639.0,32.0,77.0,31.0,11.0,9539.0,37.0,938.0,127.0,54.0,157.0,2268.3333333333335,3.2177810433504774,0.5347826086956522,1.2692138133725201,7.7210874357090375,0.7022777369581189,3.701836884643644,6.503012490815577,1.7566988210075027,405,0.0,0.0,0.0,0.0,22.529999999999998,0.0,0,0.0
downssc01,Scott Downs,13,2000,2014,38.0,40.0,619.0,50.0,1.0,1.0,27.0,729.0,297.0,67.0,279.0,575.0,34.0,26.0,28.0,2.0,3213.0,113.0,333.0,20.0,16.0,80.0,751.3333333333334,3.5576752440106474,0.48717948717948717,1.341614906832298,8.732475598935226,0.8025732031943211,3.3420585625554566,6.887755102040816,2.060931899641577,619,0.0,0.0,0.0,0.0,11.23,0.0,0,0.0
drabedo01,Doug Drabek,13,1986,1998,155.0,134.0,398.0,387.0,53.0,21.0,0.0,2448.0,1052.0,246.0,704.0,1594.0,56.0,80.0,53.0,6.0,10518.0,4.0,1141.0,97.0,69.0,177.0,2535.0,3.7349112426035505,0.5363321799307958,1.2433925049309664,8.69112426035503,0.8733727810650888,2.499408284023669,5.659171597633136,2.2642045454545454,398,0.0,0.0,1.0,0.0,27.57,0.0,0,0.0
drabomo01,Moe Drabowsky,17,1956,1972,88.0,105.0,589.0,154.0,33.0,6.0,55.0,1441.0,676.0,182.0,702.0,1162.0,62.0,53.0,63.0,5.0,7005.0,220.0,758.0,73.0,57.0,117.0,1641.0,3.707495429616088,0.45595854922279794,1.3059110298598415,7.903107861060329,0.9981718464351005,3.850091407678245,6.372943327239488,1.6552706552706553,589,0.0,0.0,0.0,0.0,19.84,0.0,0,0.0
dragodi01,Dick Drago,13,1969,1981,108.0,117.0,519.0,189.0,62.0,10.0,58.0,1901.0,755.0,157.0,558.0,987.0,75.0,34.0,54.0,3.0,7899.0,216.0,827.0,76.0,61.0,169.0,1875.0,3.624,0.48,1.3114666666666666,9.1248,0.7536,2.6784,4.7376,1.7688172043010753,519,0.0,0.0,0.0,0.0,20.47,0.0,0,0.0
drysddo01,Don Drysdale,14,1956,1969,209.0,166.0,518.0,465.0,167.0,49.0,6.0,3084.0,1124.0,280.0,855.0,2486.0,123.0,82.0,154.0,10.0,14097.0,34.0,1292.0,135.0,75.0,230.0,3432.0,2.9475524475524475,0.5573333333333333,1.1477272727272727,8.087412587412588,0.7342657342657343,2.242132867132867,6.519230769230769,2.9076023391812864,518,0.0,0.0,1.0,0.0,61.339999999999996,1984.0,BBWAA,1.0
durbich01,Chad Durbin,14,1999,2013,43.0,47.0,456.0,75.0,3.0,0.0,5.0,898.0,467.0,123.0,365.0,577.0,26.0,35.0,44.0,0.0,3725.0,82.0,512.0,17.0,37.0,78.0,836.3333333333334,5.025508170585891,0.4777777777777778,1.5101634117178158,9.663611000398564,1.3236349143084896,3.9278597050617776,6.209246711837386,1.5808219178082192,456,0.0,0.0,0.0,0.0,-0.5799999999999996,0.0,0,0.0
durenry01,Ryne Duren,10,1954,1965,27.0,44.0,311.0,32.0,2.0,1.0,57.0,443.0,251.0,40.0,392.0,630.0,15.0,38.0,41.0,3.0,2601.0,145.0,284.0,26.0,27.0,48.0,589.3333333333334,3.83314479638009,0.38028169014084506,1.4168552036199094,6.765271493212669,0.6108597285067873,5.986425339366516,9.621040723981901,1.6071428571428572,311,0.0,0.0,0.0,0.0,5.74,0.0,0,0.0
dwyerfr01,Frank Dwyer,12,1888,1899,177.0,151.0,366.0,318.0,271.0,12.0,6.0,3312.0,1204.0,108.0,764.0,565.0,78.0,69.0,101.0,0.0,12429.0,48.0,1782.0,147.0,119.0,322.0,2819.0,3.8439162823696345,0.5396341463414634,1.445902802412203,10.57396239801348,0.3448031216743526,2.4391628236963463,1.8038311457963818,0.7395287958115183,366,0.0,0.0,0.0,0.0,42.00000000000001,0.0,0,0.0
easteja01,Jamie Easterly,13,1974,1987,23.0,33.0,321.0,36.0,0.0,0.0,14.0,663.0,314.0,48.0,319.0,350.0,30.0,38.0,17.0,2.0,2744.0,105.0,360.0,33.0,30.0,82.0,611.3333333333334,4.622682660850599,0.4107142857142857,1.6063249727371864,9.760632497273718,0.7066521264994547,4.696292257360959,5.152671755725191,1.09717868338558,321,0.0,0.0,0.0,0.0,1.71,0.0,0,0.0
eatonad01,Adam Eaton,10,2000,2009,71.0,68.0,209.0,201.0,3.0,0.0,0.0,1253.0,647.0,167.0,448.0,855.0,33.0,35.0,52.0,1.0,5167.0,4.0,688.0,42.0,34.0,91.0,1178.6666666666667,4.940328054298642,0.5107913669064749,1.443156108597285,9.567590497737557,1.2751696832579185,3.420814479638009,6.52856334841629,1.9084821428571428,209,0.0,0.0,0.0,0.0,2.21,0.0,0,0.0
